DATE OF PACKING,EXPIRY DATE,AVERAGE WEIGHT (g),Positive Percentage,Negative Percentage
2024-09-14,2024-10-12,584.469,84.375,12.5
2024-09-14,2024-10-13,586.906,90.625,9.375
2024-09-16,2024-10-13,585.375,84.375,15.625
2024-09-17,2024-10-22,585.719,96.875,3.125
2024-09-18,2024-10-17,585.0,100.0,0.0
2024-09-19,2024-10-17,583.438,87.5,9.375
2024-09-23,2024-10-20,583.938,96.875,0.0
2024-09-24,2024-10-20,579.031,37.5,50.0
2024-09-25,2024-10-24,572.938,12.5,87.5
2024-09-26,2024-10-24,582.375,59.375,34.375
2024-10-02,2024-10-31,583.563,93.75,0.0
2024-10-02,2024-10-31,584.688,90.625,6.25
2024-10-03,2024-11-01,581.688,68.75,28.125
2024-10-04,2024-11-01,577.594,31.25,65.625
2024-10-04,2024-11-02,581.469,56.25,28.125
2024-10-05,2024-11-02,584.875,71.875,21.875
2024-10-05,2024-11-02,585.906,93.75,6.25
2024-10-06,2024-11-02,585.156,87.5,12.5
2024-10-06,2024-11-03,579.969,50.0,40.625
2024-10-06,2024-11-02,584.688,71.875,21.875
2024-10-07,2024-11-03,587.563,93.75,0.0
2024-10-09,2024-11-07,583.563,65.625,21.875
2024-10-09,2024-11-07,587.75,90.625,3.125
2024-10-09,2024-11-07,584.375,87.5,3.125
2024-10-10,2024-11-07,587.5,81.25,12.5
2024-10-11,2024-11-09,585.875,96.875,3.125
2024-10-11,2024-11-09,590.719,100.0,0.0
2024-10-13,2024-11-10,579.625,25.0,46.875
2024-10-14,2024-11-11,581.125,71.875,18.75
2024-10-14,2024-11-11,582.625,65.625,15.625
2024-10-14,2024-11-11,590.063,100.0,0.0
2024-10-14,2024-11-11,587.469,100.0,0.0
2024-10-15,2024-11-11,585.469,78.125,15.625
2024-10-16,2024-11-14,588.875,100.0,0.0
2024-10-18,2024-11-16,571.781,9.375,87.5
2024-10-18,2024-11-16,581.563,59.375,21.875
2024-10-18,2024-11-16,580.813,56.25,40.625
2024-10-22,2024-11-17,567.75,3.125,96.875
2024-10-22,2024-11-17,585.438,81.25,15.625
2024-10-24,2024-11-21,585.25,84.375,15.625
